Group,Marker Name,Channel Number,Low,High,Color,Color Label
Nuclei,DAPI,0,500,60000,#EEEEEE,blue
Structural Components,DAPI,0,500,60000,#0000FF,blue
Structural Components,KERATIN,14,500,35000,#FFFFFF,white
Structural Components,ASMA,34,500,40000,#FF0000,red
Structural Components,CD45,22,100,5000,#00FF00,lime
Structural Components,IBA1,33,1000,65000,#00FFFF,cyan
Structural Components 2,DAPI,0,500,60000,#0000FF,blue
Structural Components 2,KERATIN,14,500,35000,#FFFFFF,white
Structural Components 2,ASMA,34,500,40000,#FF0000,red
Structural Components 2,CD45,22,100,5000,#00FF00,lime
PD-L1 Expression,DAPI,0,500,60000,#0000FF,blue
PD-L1 Expression,KERATIN,14,500,35000,#FFFFFF,white
PD-L1 Expression,PDL1,19,1000,1500,#FF0000,red
PD-L1 Expression,IBA1,33,1000,65000,#00FFFF,lime
B-Cells and T-Cells,DAPI,0,500,60000,#0000FF,blue
B-Cells and T-Cells,CD3D,18,700,2000,#FF0000,red
B-Cells and T-Cells,CD20,35,1000,15000,#FFFFFF,white
Regulatory T-Cells,DAPI,0,500,60000,#0000FF,blue
Regulatory T-Cells,CD3D,18,700,2000,#FF0000,red
Regulatory T-Cells,CD4,21,500,40000,#00FF00,lime
Regulatory T-Cells,FOXP3,30,1000,7000,#FFFFFF,white
Cytotoxic T-Cells,DAPI,0,500,60000,#0000FF,blue
Cytotoxic T-Cells,CD3D,18,700,2000,#FF0000,red
Cytotoxic T-Cells,CD8A,23,500,20000,#00FF00,lime
Inhibitory T-Cells,DAPI,0,500,60000,#0000FF,blue
Inhibitory T-Cells,CD3D,18,700,2000,#FF0000,red
Inhibitory T-Cells,PD1,15,3000,5000,#00FF00,lime
Inhibitory T-Cells,FOXP3,30,1000,7000,#FFFFFF,white
Rare Immune Population 1,DAPI,0,500,60000,#0000FF,blue
Rare Immune Population 1,CD4,21,500,40000,#00FF00,lime
Rare Immune Population 1,CD8A,23,500,20000,#FF0000,red
Rare Immune Population 1,FOXP3,30,1000,7000,#FFFFFF,white
Rare Immune Population 2,DAPI,0,500,60000,#0000FF,blue
Rare Immune Population 2,CD4,21,500,40000,#00FF00,lime
Rare Immune Population 2,CD8A,23,500,20000,#FF0000,red
Rare Immune Population 2,PD1,15,3000,5000,#00FFFF,cyan
Rare Immune Population 2,FOXP3,30,1000,7000,#FFFFFF,white
Macrophages,DAPI,0,500,60000,#0000FF,blue
Macrophages,IBA1,33,1000,40000,#00FF00,lime
Macrophages,CD163,25,1500,25000,#FF0000,red
Macrophages (cont.),DAPI,0,500,60000,#0000FF,blue
Macrophages (cont.),CD68,26,1000,15000,#00FF00,lime
Macrophages (cont.),CD11B,29,1000,20000,#FFFFFF,white
Macrophages (cont.),CD14,27,1000,50000,#FF0000,red
Keratin,KERATIN,14,500,35000,#FFFFFF,white
ASMA,ASMA,34,500,40000,#FF0000,red
CD45,CD45,22,100,5000,#00FF00,lime
IBA1,IBA1,33,1000,65000,#00FFFF,cyan
